bookID,title,authors,average_rating
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
21,A Short History of Nearly Everything,Bill Bryson,4.21
22,Bill Bryson's African Diary,Bill Bryson,3.44
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87
24,In a Sunburned Country,Bill Bryson,4.07
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86
28,Notes from a Small Island,Bill Bryson,3.91
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76
58,Changeling (Changeling  #1),Delia Sherman,3.6
59,The Changeling Sea,Patricia A. McKillip,4.06
61,The Changeling,Zilpha Keatley Snyder,4.17
63,The Changeling,Kate Horsley,3.55
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98
67,The Known World,Edward P. Jones,3.83
68,The Known World,Edward P. Jones/Kevin R. Free,3.83
69,The Known World,Edward P. Jones,3.83
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83
72,Artesia: Adventures in the Known World,Mark Smylie,4.13
